               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11493,             0.10373,                   0,          0.00066667,             0.02381,          0.00072142,          7.2142e-05,              0.1069,            0.091959,                   0,               1e-05,               1e-05,             0.09991
                   1,             0.11225,             0.10206,                   0,                   0,                   0,                   0,                   0,             0.10506,            0.094782,                   0,          2.9999e-05,          2.9999e-05,             0.09973
                   2,             0.10902,            0.095028,                   0,          0.00066667,             0.02381,          0.00036892,          3.6892e-05,             0.10265,            0.098548,                   0,          4.9996e-05,          4.9996e-05,             0.09955
                   3,             0.10969,             0.11125,                   0,           0.0033333,             0.11905,            0.002673,          0.00030419,             0.10011,             0.10253,                   0,          6.9986e-05,          6.9986e-05,             0.09937
                   4,             0.10436,              0.1045,                   0,            0.013333,             0.47619,            0.011711,           0.0014484,            0.097068,             0.10735,                   0,          8.9968e-05,          8.9968e-05,             0.09919
                   5,             0.10634,             0.11543,                   0,            0.018667,             0.66667,            0.015767,           0.0029739,            0.094244,             0.11178,                   0,          0.00010994,          0.00010994,             0.09901
                   6,             0.10374,              0.1229,                   0,            0.022667,             0.80952,            0.022497,           0.0047561,            0.091736,             0.11567,                   0,           0.0001299,           0.0001299,             0.09883
                   7,             0.10198,             0.12218,                   0,            0.022667,             0.80952,            0.022497,            0.005596,            0.089384,              0.1193,                   0,          0.00014984,          0.00014984,             0.09865
                   8,             0.10099,             0.12773,                   0,            0.022667,             0.80952,            0.022491,           0.0058331,            0.087227,             0.12256,                   0,          0.00016976,          0.00016976,             0.09847
                   9,              0.1013,             0.14516,                   0,            0.022667,             0.80952,            0.022491,           0.0059113,            0.085491,             0.12511,                   0,          0.00018966,          0.00018966,             0.09829
                  10,             0.09692,             0.14209,                   0,            0.022667,             0.80952,            0.022491,           0.0059178,            0.083768,             0.12759,                   0,          0.00020954,          0.00020954,             0.09811
                  11,            0.098156,             0.13549,                   0,               0.022,             0.78571,            0.021871,           0.0058712,            0.082416,             0.12942,                   0,          0.00022939,          0.00022939,            0.097929
                  12,            0.097308,             0.13363,                   0,               0.022,             0.78571,            0.021871,           0.0058712,            0.080815,             0.13167,                   0,          0.00024921,          0.00024921,            0.097749
                  13,            0.096521,             0.13312,                   0,               0.022,             0.78571,             0.02117,           0.0057806,            0.079309,             0.13379,                   0,            0.000269,            0.000269,            0.097569
                  14,            0.094849,             0.14054,                   0,               0.022,             0.78571,             0.02122,           0.0056202,            0.077981,             0.13564,                   0,          0.00028876,          0.00028876,            0.097389
                  15,            0.092102,             0.11866,                   0,               0.022,             0.78571,            0.020449,           0.0054878,            0.076703,             0.13745,                   0,          0.00030847,          0.00030847,            0.097208
                  16,            0.093983,             0.14067,                   0,               0.022,             0.78571,            0.021871,           0.0057493,             0.07554,             0.13908,                   0,          0.00032815,          0.00032815,            0.097028
                  17,            0.091654,             0.14542,                   0,               0.024,             0.85714,            0.023885,           0.0063247,            0.074604,             0.14033,                   0,          0.00034779,          0.00034779,            0.096848
                  18,            0.092368,             0.11595,                   0,               0.022,             0.78571,            0.020077,           0.0054184,            0.073956,             0.14118,                   0,          0.00036738,          0.00036738,            0.096667
                  19,            0.097609,             0.13886,                   0,               0.022,             0.78571,            0.020449,           0.0055656,            0.073792,             0.14125,                   0,          0.00038692,          0.00038692,            0.096487
                  20,             0.09138,             0.12984,                   0,               0.022,             0.78571,             0.02122,           0.0058229,            0.073607,             0.14139,                   0,          0.00040642,          0.00040642,            0.096306
                  21,            0.091763,             0.12618,                   0,               0.022,             0.78571,             0.02122,           0.0059658,            0.073206,             0.14192,                   0,          0.00042586,          0.00042586,            0.096126
                  22,            0.092447,             0.12928,                   0,            0.024667,             0.88095,            0.024557,           0.0067553,            0.072974,             0.14218,                   0,          0.00044524,          0.00044524,            0.095945
                  23,             0.08872,             0.12644,                   0,               0.022,             0.78571,             0.02117,           0.0058522,            0.072613,             0.14266,                   0,          0.00046457,          0.00046457,            0.095765
                  24,            0.089727,             0.13127,                   0,            0.025333,             0.90476,            0.025422,            0.006727,            0.072123,             0.14337,                   0,          0.00048384,          0.00048384,            0.095584
                  25,            0.089661,             0.12329,                   0,            0.022667,             0.80952,            0.021616,           0.0058365,            0.071588,             0.14415,                   0,          0.00050305,          0.00050305,            0.095403
                  26,            0.089871,             0.13098,                   0,            0.024667,             0.88095,            0.024626,           0.0065152,            0.071097,             0.14483,                   0,          0.00052219,          0.00052219,            0.095222
                  27,            0.088506,             0.14702,                   0,            0.024667,             0.88095,            0.025209,           0.0066255,            0.071006,             0.14485,                   0,          0.00054126,          0.00054126,            0.095041
                  28,             0.09317,             0.14395,                   0,            0.025333,             0.90476,             0.02434,           0.0062841,            0.070978,             0.14477,                   0,          0.00056027,          0.00056027,             0.09486
                  29,            0.096633,             0.13724,                   0,            0.024667,             0.88095,            0.024119,            0.006419,            0.071205,             0.14431,                   0,           0.0005792,           0.0005792,            0.094679
                  30,            0.094093,             0.16031,                   0,               0.024,             0.85714,            0.023936,           0.0062562,            0.071864,             0.14315,                   0,          0.00059806,          0.00059806,            0.094498
                  31,            0.091505,             0.14797,                   0,               0.024,             0.85714,            0.023976,           0.0063232,            0.072339,             0.14231,                   0,          0.00061684,          0.00061684,            0.094317
                  32,            0.092949,             0.14927,                   0,               0.024,             0.85714,            0.023844,           0.0061963,            0.072767,             0.14155,                   0,          0.00063554,          0.00063554,            0.094136
                  33,            0.093151,             0.13222,                   0,               0.024,             0.85714,            0.024669,           0.0064851,             0.07342,             0.14046,                   0,          0.00065416,          0.00065416,            0.093954
                  34,            0.094639,             0.15432,                   0,               0.024,             0.85714,            0.023944,            0.006356,            0.074023,             0.13947,                   0,          0.00067269,          0.00067269,            0.093773
                  35,            0.093532,             0.15473,                   0,               0.024,             0.85714,            0.024581,           0.0061269,            0.074789,             0.13824,                   0,          0.00069114,          0.00069114,            0.093591
                  36,            0.092171,              0.1408,                   0,               0.024,             0.85714,            0.023908,           0.0063035,            0.075169,             0.13765,                   0,          0.00070949,          0.00070949,            0.093409
                  37,            0.092658,             0.14002,                   0,               0.024,             0.85714,            0.024304,           0.0062654,            0.075342,             0.13736,                   0,          0.00072776,          0.00072776,            0.093228
                  38,            0.086865,             0.12883,                   0,            0.024616,             0.78571,            0.024876,           0.0065861,            0.074487,             0.13869,                   0,          0.00074593,          0.00074593,            0.093046
